Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.38271077815477E-17,-0.00152665456174176,0.00013600619686752,0,0,0,0.0010106350811003,8.21935074102693E-08,1.09069372994596E-22,-9.53793667748096E-23,8.91169172879906E-08,3.75545527808583E-10,3.24854532993333E-08,0,0,0,0,0,0,package://nfh1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/base_link.STL,,baselink-1,base_xyz,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-3.02968277956714E-08,0.00113442134572195,-0.00103189701894815,0,0,0,0.000198782228473331,1.54756445032477E-09,1.04920853826156E-14,1.20628751644808E-14,7.78597837435174E-09,2.60644031070248E-11,6.52448985383517E-09,0,0,0,0,0,0,package://nfh1/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/link1.STL,,link1^xin-1/实体91-1;link1^xin-1/实体99-1,link1_xyz,link1_axis,joint1,revolute,0,0.002,-0.00043547,0,0,0,base_link,1,0,0,0,0,0,3,,,,,,,,
link2,2.04116237800811E-14,0.00199999999999673,2.25687524224583E-15,0,0,0,0.000426578933420392,2.40312572201313E-08,1.08441426979082E-20,1.58390450486601E-14,5.02579655004393E-08,-8.12741302547014E-22,2.69722292223729E-08,0,0,0,0,0,0,package://nfh1/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/link2.STL,,link2-1,link2_xyz,link2_axis,joint2,revolute,0,0.003,0,0,0,0,link1,1,0,0,0,0,0,0,,,,,,,,
link3,-1.85210429458349E-09,0.00188788673228118,9.25942005708391E-09,0,0,0,0.000177041699595263,1.04521718092597E-09,8.84382829525734E-16,-3.68957976869567E-14,6.780090216707E-09,3.47697738614603E-16,5.99075813384719E-09,0,0,0,0,0,0,package://nfh1/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/link3.STL,,link3^xin-1/实体116-1;link3^xin-1/实体106-1,link3_xyz,link3_axis,joint3,revolute,0,0.004,0,0,0,0,link2,1,0,0,0,0,0,0,,,,,,,,
link4,-1.85220484522769E-09,0.00111211326769552,-9.25926902685392E-09,0,0,0,0.000177041699591455,1.04521718092059E-09,-8.84414594885132E-16,3.68958562620462E-14,6.78009021647453E-09,3.47696486133909E-16,5.99075813360752E-09,0,0,0,0,0,0,package://nfh1/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/link4.STL,,link4^xin-1/实体92-1;link4^xin-1/实体83-1,link4_xyz,link4_axis,joint4,revolute,0,0.003,0,0,0,0,link3,1,0,0,0,0,0,0,,,,,,,,
link5,3.16587034365767E-16,0.00199999999999984,2.94902990916057E-17,0,0,0,0.000426578933419002,2.40312572201162E-08,5.53023048996122E-22,1.58390444679449E-14,5.02579655003556E-08,3.33937442954536E-22,2.69722292223007E-08,0,0,0,0,0,0,package://nfh1/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/link5.STL,,link5-1,link5_xyz,link5_axis,joint5,revolute,0,0.003,0,0,0,0,link4,1,0,0,0,0,0,0,,,,,,,,
link6,-1.85304629713584E-09,0.00188788673222637,9.25894851587505E-09,0,0,0,0.000177041699612827,1.04521718094737E-09,8.84331514880089E-16,-3.68957016060218E-14,6.78009021785023E-09,3.47704440244518E-16,5.99075813499962E-09,0,0,0,0,0,0,package://nfh1/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/link6.STL,,link6^xin-1/实体87-1;link6^xin-1/实体90-1,link6_xyz,link6_axis,joint6,revolute,0,0.004,0,0,0,0,link5,1,0,0,0,0,0,0,,,,,,,,
link7,-1.85217126965481E-09,0.00111211326771995,-9.2592722395618E-09,0,0,0,0.000177041699592343,1.04521718091653E-09,-8.84384732571617E-16,3.68959110097901E-14,6.78009021664487E-09,3.47696110296643E-16,5.99075813379512E-09,0,0,0,0,0,0,package://nfh1/meshes/link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/link7.STL,,link7^xin-1/保存实体6-1;link7^xin-1/实体97-1,link7_xyz,link7_axis,joint7,revolute,0,0.003,0,0,0,0,link6,1,0,0,0,0,0,0,,,,,,,,
link8,-3.03888357620213E-09,0.00259277247993408,-0.00095049373758898,0,0,0,0.0010266417760455,4.11004796506741E-08,-2.66382276095118E-14,-1.7805024963789E-14,8.86548394837283E-08,5.31597018204856E-10,4.92201079166408E-08,0,0,0,0,0,0,package://nfh1/meshes/link8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/link8.STL,,link8-1,link8_xyz,link8_axis,joint8,revolute,0,0.003,0,0,0,0,link7,1,0,0,0,0,0,0,,,,,,,,
link9,-5.46437894932694E-17,0.000833333333333332,-1.73472347597681E-18,0,0,0,8.10000000000002E-05,8.43750000000006E-11,2.92242883488534E-24,-8.55086023776014E-25,2.31075000000001E-09,-2.97461309303528E-26,2.27362500000001E-09,0,0,0,0,0,0,package://nfh1/meshes/link9.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/link9.STL,,link9-1,link9_xyz,link9_axis,joint9,revolute,0,0.004,0,0,0,0,link8,1,0,0,0,0,0,0,,,,,,,,
link10,-5.63785129692462E-17,0.00116666666666666,-1.73472347597681E-18,0,0,0,8.10000000000005E-05,8.43750000000004E-11,-3.07542157065845E-24,3.42796988361759E-25,2.31075000000001E-09,1.86720834430788E-26,2.27362500000001E-09,0,0,0,0,0,0,package://nfh1/meshes/link10.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/link10.STL,,link10-1,link10_xyz,link10_axis,joint10,revolute,0,0.002,0,0,0,0,link9,1,0,0,0,0,0,0,,,,,,,,
link11,-3.64291929955129E-17,0.000833333333333332,-1.73472347597681E-18,0,0,0,8.09999999999997E-05,8.43749999999972E-11,1.96738543955592E-24,-3.05994319520648E-25,2.31075E-09,-2.13678943482114E-26,2.273625E-09,0,0,0,0,0,0,package://nfh1/meshes/link11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/link11.STL,,link11-1,link11_xyz,link11_axis,joint11,revolute,0,0.002,0,0,0,0,link10,1,0,0,0,0,0,0,,,,,,,,
link12,-3.72965547335014E-17,0.00116666666666667,-1.73472347597681E-18,0,0,0,8.10000000000007E-05,8.43750000000011E-11,-1.93605819528781E-24,-2.95930406553499E-26,2.31075000000001E-09,9.95985777925864E-27,2.27362500000001E-09,0,0,0,0,0,0,package://nfh1/meshes/link12.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/link12.STL,,link12-1,link12_xyz,link12_axis,joint12,revolute,0,0.002,0,0,0,0,link11,1,0,0,0,0,0,0,,,,,,,,
link13,-1.90819582357449E-17,0.000833333333333339,1.73472347597681E-18,0,0,0,8.09999999999995E-05,8.43749999999985E-11,1.0021015778622E-24,-2.80106875926232E-25,2.31075E-09,-3.81924985088125E-26,2.273625E-09,0,0,0,0,0,0,package://nfh1/meshes/link13.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/link13.STL,,link13-1,link13_xyz,link13_axis,joint13,revolute,0,0.002,0,0,0,0,link12,1,0,0,0,0,0,0,,,,,,,,
link14,-1.82145964977565E-17,0.00116666666666666,0,0,0,0,8.10000000000009E-05,8.43750000000015E-11,-1.01141644743106E-24,2.30587450828703E-25,2.31075000000001E-09,-7.05249727203203E-27,2.27362500000001E-09,0,0,0,0,0,0,package://nfh1/meshes/link14.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/link14.STL,,link14-2,link14_xyz,link14_axis,joint14,revolute,0,0.002,0,0,0,0,link13,1,0,0,0,0,0,0,,,,,,,,
link15,0,0.00083333,1.7347E-18,0,0,0,8.1E-05,8.4375E-11,9.7337E-26,3.4405E-25,2.3107E-09,-1.032E-25,2.2736E-09,0,0,0,0,0,0,package://nfh1/meshes/link15.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://nfh1/meshes/link15.STL,,link15-1,link15_xyz,link15_axis,joint15,revolute,0,0.002,0,0,0,0,link14,1,0,0,0,0,0,0,,,,,,,,
link16,-8.67361737988404E-19,0.00116666666666665,-1.73472347597681E-18,0,0,0,8.09999999999998E-05,8.43750000000003E-11,-1.45597427740292E-25,1.33569597137202E-25,2.31074999999998E-09,-5.16546120738732E-27,2.27362499999998E-09,0,0,0,0,0,0,package://nfh1/meshes/link16.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/link16.STL,,link16-2,link16_xyz,link16_axis,joint16,revolute,0,0.002,0,0,0,0,link15,1,0,0,0,0,0,0,,,,,,,,
link17,3.0389E-09,0.0014072,-0.00095049,0,0,0,0.0010266,4.11E-08,-2.6638E-14,1.7805E-14,8.8655E-08,-5.316E-10,4.922E-08,0,0,0,0,0,0,package://nfh1/meshes/link17.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://nfh1/meshes/link17.STL,,link17-2,link17_xyz,link17_axis,joint17,revolute,0,0.002,0,0,0,0,link16,1,0,0,0,0,0,0,,,,,,,,
link18,-1.85210907721611E-09,0.00188788673228193,9.25941985932544E-09,0,0,0,0.000177041699595134,1.04521718092574E-09,8.84381809648875E-16,-3.68957976733367E-14,6.78009021670153E-09,3.47697753969144E-16,5.99075813384154E-09,0,0,0,0,0,0,package://nfh1/meshes/link18.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/link18.STL,,link18^xin-1/实体107-1;link18^xin-1/实体110-1,link18_xyz,link18_axis,joint18,revolute,0,0.004,0,0,0,0,link17,1,0,0,0,0,0,0,,,,,,,,
link19,-1.85312260588683E-09,0.00111211326777413,-9.2596469467715E-09,0,0,0,0.00017704169961621,1.045217180958E-09,-8.84332056180977E-16,3.68960054813993E-14,6.78009021793177E-09,3.47689119657577E-16,5.99075813507066E-09,0,0,0,0,0,0,package://nfh1/meshes/link19.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/link19.STL,,link19^xin-1/实体113-1;link19^xin-1/实体96-1,link19_xyz,link19_axis,joint19,revolute,0,0.003,0,0,0,0,link18,1,0,0,0,0,0,0,,,,,,,,
link20,2.949E-16,0.002,-6.245E-17,0,0,0,0.00042658,2.4031E-08,-5.7522E-22,-1.5839E-14,5.0258E-08,-3.241E-22,2.6972E-08,0,0,0,0,0,0,package://nfh1/meshes/link20.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://nfh1/meshes/link20.STL,,link20-1,link20_xyz,link20_axis,joint20,revolute,0,0.003,0,0,0,0,link19,1,0,0,0,0,0,0,,,,,,,,
link21,-1.85212578520527E-09,0.00188788673230469,9.2593287238929E-09,0,0,0,0.000177041699588148,1.04521718091002E-09,8.84414436874819E-16,-3.68958511803103E-14,6.78009021639738E-09,3.47697111230421E-16,5.99075813354088E-09,0,0,0,0,0,0,package://nfh1/meshes/link21.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/link21.STL,,link21^xin-1/实体101-1;link21^xin-1/实体100-1,link21_xyz,link21_axis,joint21,revolute,0,0.004,0,0,0,0,link20,1,0,0,0,0,0,0,,,,,,,,
link22,-1.8522E-09,0.0011121,-9.2593E-09,0,0,0,0.00017704,1.0452E-09,-8.8438E-16,3.6896E-14,6.7801E-09,3.477E-16,5.9908E-09,0,0,0,0,0,0,package://nfh1/meshes/link22.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://nfh1/meshes/link22.STL,,link22^xin-1/实体109-1;link22^xin-1/1-1,link22_xyz,link22_axis,joint22,revolute,0,0.003,0,0,0,0,link21,1,0,0,0,0,0,0,,,,,,,,
link23,-4.25528023494798E-09,0.00200319378405478,1.99201304004071E-05,0,0,0,0.000427551960688234,2.41076400365124E-08,7.90954943747629E-15,-3.44632846965697E-15,5.03556158003561E-08,-1.18913452372501E-11,2.69974746683614E-08,0,0,0,0,0,0,package://nfh1/meshes/link23.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nfh1/meshes/link23.STL,,link23-1,link23_xyz,link23_axis,joint23,revolute,0,0.003,0,0,0,0,link22,1,0,0,0,0,0,0,,,,,,,,
